source,scraped_at,url,sku,title,brand,description,variety,barcode,price,currency,original_price,savings_amount,discount_pct,price_source,cup_price,cup_measure,cup_string,package_size,unit,is_on_special,is_half_price,is_sponsored,ad_status,offer_id,is_available,is_in_stock,is_purchasable,supply_limit,department,category,subcategory,health_star_rating,dietary_claims,allergy_statement,ingredients,storage_instructions,image_url,data_source,page,position
www.woolworths.com.au,2026-09-16T17:42:03.474962+00:00,https://www.woolworths.com.au/shop/productdetails/855750/cadbury-raspberry-mini-rolls,855750,Cadbury Raspberry Mini Rolls 125g 5 pack,Cadbury,Cadbury Raspberry Mini Rolls 125g 5 pack,Rolls,5000221600077,6.9,AUD,,,,api,1.38,1EA,$1.38 / 1EA,125g 5 pack,Each,False,False,True,Promoted,,True,True,True,18,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE CAKE,,Vegetarian,,,,https://cdn1.woolworths.media/content/wowproductimages/large/855750.jpg,api-category,1,1
www.woolworths.com.au,2026-09-16T17:42:03.475041+00:00,https://www.woolworths.com.au/shop/productdetails/277728/woolworths-white-sandwich-bread-loaf,277728,Woolworths White Sandwich Bread Loaf 650g,Woolworths,Woolworths White Sandwich Bread Loaf 650g,Loaf,9339687336265,2.5,AUD,,,,api+dom,0.38,100G,$0.38 / 100G,650g,Each,False,False,False,,,True,True,True,36,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE BREAD,3.5,"Low Fat,Low Sugar,Source of Fibre,Vegetarian","Dairy Free,Egg Free,Fish Free,Lactose Free","Wheat Flour, Water, Yeast, Vinegar, Iodised Salt, Fermented Wheat Flour, Canola Oil, Soy Flour, Emul sifiers (481, 472e), Vitamins (Thiamin, Folic Acid ), Processing Aid (Wheat)",,https://cdn1.woolworths.media/content/wowproductimages/large/277728.jpg,api-category,1,2
www.woolworths.com.au,2026-09-16T17:42:03.475102+00:00,https://www.woolworths.com.au/shop/productdetails/634918/woolworths-white-wrap,634918,Woolworths White Wrap 8 pack,Woolworths,Woolworths White Wrap 8 pack,,9300633681067,2.2,AUD,,,,api+dom,0.61,100G,$0.61 / 100G,8 pack,Each,False,False,False,,,True,True,True,36,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE INTERNATIONAL BREAD,3.5,"Low Sugar,Source of Fibre","Dairy Free,Egg Free,Fish Free,Lactose Free,No Artificial Colours or Flavours","Wheat Flour (56%) (Wheat Flour, Vitamins (Folic Acid, Thiamine)), Water, Vegetable Fat (Palm Oil, Antioxidant (Vitamin E)), Wheat Fibre, Wheat Gluten, Sugar, Iodised Salt, Vegetable Gum (Guar Gum), Mineral Salt (Sodium Carbonate), Emulsifier (471), Acidity Regulator (Fumaric Acid), Preservatives (Calcium Propionate, Sorbic Acid), Antioxidant (Ascorbic Acid).","Once opened, empty contents into an airtight container, refrigerate at 1-5 C and use within 3 days.",https://cdn1.woolworths.media/content/wowproductimages/large/634918.jpg,api-category,1,3
www.woolworths.com.au,2026-09-16T17:42:03.475157+00:00,https://www.woolworths.com.au/shop/productdetails/581176/woolworths-wholemeal-soft-sandwich-bread,581176,Woolworths Wholemeal Soft Sandwich Bread 650g,Woolworths,Woolworths Wholemeal Soft Sandwich Bread 650g,Sandwich Bread,9300633636876,2.8,AUD,,,,api+dom,0.43,100G,$0.43 / 100G,650g,Each,False,False,False,,,True,True,True,36,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE BREAD,4.0,"Low Saturated Fat,Low Sugar,Source of Fibre,Source of Protein,Wholegrain","Dairy Free,Egg Free,Fish Free,Lactose Free,No Artificial Colours or Flavours,No Artificial Preservatives","Wholemeal Wheat Flour (45%), Water, Wheat Flour, W heat Gluten, Yeast, Vinegar, Iodised Salt, Canola Oil, Fermented Wheat Flour, Soy Flour, Emulsifiers (481, 472e), Vitamins (Thaimin, Folic Acid), Proc essing Aid (Wheat).","Store in a cool, dry place, away from light.",https://cdn1.woolworths.media/content/wowproductimages/large/581176.jpg,api-category,1,4
www.woolworths.com.au,2026-09-16T17:42:03.475219+00:00,https://www.woolworths.com.au/shop/productdetails/713816/tip-top-the-one-white-sandwich-slice-bread-loaf-bakery,713816,Tip Top The One White Sandwich Slice Bread Loaf Bakery 700g,Tip Top,Tip Top The One White Sandwich Slice... 700g,Slice Bread Loaf Bakery,9339423004809,4.6,AUD,,,,api+dom,0.66,100G,$0.66 / 100G,700g,Each,False,False,False,,25089082,True,True,True,36,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE BREAD,4.5,"High Fibre,Low Fat,Low Sugar,Source of Fibre,Source of Protein","Dairy Free,Egg Free,Fish Free,Lactose Free,No Artificial Colours or Flavours,No Artificial Preservatives","Wheat Flour, Water, Wheat Fibre, Modified Tapioca Starch (1412), Baker's Yeast, Vinegar, Wheat Gluten, Iodised Salt, Canola Oil, Soy Flour, Vegetable Gum (412), Vegetable Emulsifiers (481, 472e), Minerals (Iron, Zinc), Vitamins (Niacin, Vitamin B6, Vitamin E, Thiamin, Folic Acid), Processing Aid (Wheat).","Store in a cool, dry place away from direct sunlight. Enjoy this loaf fresh, or freeze and store it for up to 4 months at or below -15C. On thawing, best consumed immediately.",https://cdn1.woolworths.media/content/wowproductimages/large/713816.jpg,api-category,1,5
www.woolworths.com.au,2026-09-16T17:42:03.475281+00:00,https://www.woolworths.com.au/shop/productdetails/263669/wonder-white-bread-vitamins-minerals-sandwich,263669,Wonder White Bread Vitamins & Minerals Sandwich 700g,Wonder,Wonder White Bread Vitamins & Minerals Sandwich 700g,Minerals Sandwich,9310023138705,4.6,AUD,,,,api+dom,0.66,100G,$0.66 / 100G,700g,Each,False,False,False,,,True,True,True,36,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE BREAD,4.5,"High Fibre,Low Fat,Low Sugar,Source of Fibre,Source of Protein,Vegetarian","Dairy Free,Egg Free,Fish Free,Lactose Free,No Artificial Colours or Flavours,No Artificial Preservatives","Wheat Flour, Water, Wheat Fibre, Yeast, Modified Tapioca Starch (1413), Wheat Gluten, Canola Oil, Vinegar, Iodised Salt, Soy Flour, Cultured Wheat Flour, Vegetable Emulsifiers (471, 472e, 481), Vitamins (Vitamin E, Thiamin, Niacin, Vitamin B6, Folic Acid), Minerals (Iron, Zinc), Processing Aids (Wheat)","Store in a cool dry place, out of direct sunlight.",https://cdn1.woolworths.media/content/wowproductimages/large/263669.jpg,api-category,1,6
www.woolworths.com.au,2026-09-16T17:42:03.475330+00:00,https://www.woolworths.com.au/shop/productdetails/224737/woolworths-english-muffins,224737,Woolworths English Muffins 6 pack,Woolworths,Woolworths English Muffins 6 pack,,9300633906702,2.9,AUD,,,,api+dom,0.48,1EA,$0.48 / 1EA,6 pack,Each,False,False,False,,,True,True,True,36,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE BAKERY SNACKS,4.0,"Low Fat,Low Saturated Fat,Low Sugar,Source of Fibre,Source of Protein","Dairy Free,Egg Free,Fish Free,Lactose Free,No Artificial Colours or Flavours","Wheat Flour, Water, Yeast, Wheat Gluten, Maize, Vinegar, Canola Oil, Iodised Salt, Soy Flour, Raising Agent (341), Acidity Regulators (263, 262), Emulsifiers [ (472e, 481), Preservatives (200, 202), Sugar, Wheat Malt Flour, Vitamins (Thiamin, Folic Acid), Processing Aid (Wheat).",,https://cdn1.woolworths.media/content/wowproductimages/large/224737.jpg,api-category,1,7
www.woolworths.com.au,2026-09-16T17:42:03.475382+00:00,https://www.woolworths.com.au/shop/productdetails/49622/golden-crumpets-round,49622,Golden Crumpets Round 6 pack,Golden,Golden Crumpets Round 6 pack,Round,9310043003014,2.0,AUD,4.8,2.8,58.33,api+dom,0.33,1EA,$0.33 / 1EA,6 pack,Each,True,True,False,,24306557,True,True,True,36,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE BAKERY SNACKS,3.0,"Halal,Low Fat,Low Sugar,Vegan,Vegetarian","Egg Free,Fish Free,Soy Free","Wheat Flour, Water, Raising Agents (450, 500), Iodised Salt, Preservatives (282, 234), Dextrose, Vitamins (Thiamin, Folic Acid).","KEEP REFRIGERATED AT HOME. Recommended frozen shelf life, 2 months. On thawing consume immediately, do not refreeze.",https://cdn1.woolworths.media/content/wowproductimages/large/049622.jpg,api-category,1,8
www.woolworths.com.au,2026-09-16T17:42:03.475432+00:00,https://www.woolworths.com.au/shop/productdetails/33878/woolworths-soft-hamburger-rolls-soft-hamburger,33878,Woolworths Soft Hamburger Rolls 6 pack,Woolworths,Woolworths Soft Hamburger Rolls Soft... 6 pack,Soft Hamburger,0280080000002,3.0,AUD,,,,api+dom,0.5,1EA,$0.50 / 1EA,6 pack,Each,False,False,False,,24933067,True,True,True,36,BAKEHOUSE,INSTORE BAKERY,ISB BREAD ROLL,3.5,"Low Fat,Low Saturated Fat,Low Sugar,Source of Protein,Vegan,Vegetarian","Fish Free,No Artificial Colours or Flavours","Wheat Flour (Wheat Flour, Vitamins (Thiamin, Folic Acid)), Water, Yeast, Vegetable Oil, Iodised Salt, Yellow Pea Flour, Wheat Gluten, Fermented Wheat Flour, Processing Aid (Wheat).",,https://cdn1.woolworths.media/content/wowproductimages/large/033878.jpg,api-category,1,9
www.woolworths.com.au,2026-09-16T17:42:03.475479+00:00,https://www.woolworths.com.au/shop/productdetails/320194/mission-wraps-original,320194,Mission Wraps Original 8 pack,Mission,Mission Wraps Original 8 pack,Original,9317224400495,5.6,AUD,,,,api+dom,0.99,100G,$0.99 / 100G,8 pack,Each,False,False,False,,,True,True,True,34,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE INTERNATIONAL BREAD,,"Low Sugar,Source of Protein,Vegan,Vegetarian","Dairy Free,Egg Free,Fish Free,Lactose Free","Wheat flour (64%) (thiamine, folic acid), water, vegetable oil, mineral salts (450, 500), iodised salt, sugar, vegetable gums (412, 466), acidity regulator (297), emulsifier (471), preservatives (282, 200), processing aids (wheat).",Store in a cool dry place. Once open refrigerate and use within 3 days.,https://cdn1.woolworths.media/content/wowproductimages/large/320194.jpg,api-category,1,10
